date,fund,price
2026-03-13,Optimaal Staatsobligaties 10+ Fonds,21.56
2026-03-13,Optimaal Vastgoedfonds,34.59
2026-03-13,Optimaal Wereld Aandelenfonds,71.47
2026-03-13,Optimaalfonds Oranje,37.24
2026-03-13,PP Euro Aandelenfonds,62.79
2026-03-13,PP Euro Mixfonds,41.44
2026-03-13,PP Euro Obligatiefonds,25.5
2026-03-13,PP Optimaal Euro Mixfonds,40.58
2026-03-13,PP Wereld Aandelenfonds,75.33
2026-03-13,Wereld Beheer Mixfonds,38.37
2026-03-13,Zwitserleven Amerika Aandelenfonds,97.57
2026-03-13,Zwitserleven Credits Fonds,11.39
2026-03-13,Zwitserleven Credits Hypotheken Mixfonds,11.36
2026-03-13,Zwitserleven Duurzaam Wereld Aandelenfonds,36.48
2026-03-13,Zwitserleven Europees Aandelenfonds,36.88
2026-03-13,Zwitserleven Government Bonds 10+ Fonds,8.11
2026-03-13,Zwitserleven Index Aandelenfonds Europa,42.44
2026-03-13,Zwitserleven Index Aandelenfonds Noord-Amerika,48.6
2026-03-13,Zwitserleven Index Aandelenfonds Opkomende Landen,33.91
2026-03-13,Zwitserleven Index Aandelenfonds Pacific,37.88
2026-03-13,Zwitserleven Index Wereld Aandelenfonds,87.81
2026-03-13,Zwitserleven Kortlopend Obligatiefonds,6.06
2026-03-13,Zwitserleven Lifestyle Garantie,168.83
2026-03-13,Zwitserleven Long Duration Fonds,26.45
2026-03-13,Zwitserleven MaatschappijGarantie (2%),41.65
2026-03-13,Zwitserleven MaatschappijGarantie (3%),46.42
2026-03-13,Zwitserleven MaatschappijGarantie plus,53.52
2026-03-13,Zwitserleven Medium Duration Fonds,27.96
2026-03-13,Zwitserleven Mixfonds,57.88
2026-03-13,Zwitserleven Obligatiefonds,17.39
2026-03-13,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.86
2026-03-13,Zwitserleven PPI Vanguard Small Cap Fund,53.21
2026-03-13,Zwitserleven PPI iShares Government Bond index Fund,49.87
2026-03-13,Zwitserleven PW Collectief Garantiefonds,19.84
2026-03-13,Zwitserleven PW Doorlopend Garantiefonds,13.29
2026-03-13,Zwitserleven PW Europees Beheer Fonds 3%,182.76
2026-03-13,Zwitserleven PW Europees Beheer Fonds 4%,184.64
2026-03-13,Zwitserleven PW Garandement,15.75
2026-03-13,Zwitserleven PW Garantie Plusfonds,17.92
2026-03-13,Zwitserleven PW Garantiefonds,13.17
2026-03-13,Zwitserleven PW Safetyfonds,109.68
2026-03-13,Zwitserleven PW Vastrentendfonds,19.34
2026-03-13,Zwitserleven PW Vastrentendfonds Nederland 3%,19.81
2026-03-13,Zwitserleven PW Vastrentendfonds Nederland 4%,19.81
2026-03-13,Zwitserleven PW Verzekerd Rendementfonds,14.78
2026-03-13,Zwitserleven PW Wereldbeheerfonds 3%,136.94
2026-03-13,Zwitserleven PW Wereldbeheerfonds 4%,138.16
2026-03-13,Zwitserleven RZL Amerika Aandelenfonds,89.03
2026-03-13,Zwitserleven RZL Azië Aandelenfonds,48.0
2026-03-13,Zwitserleven RZL Euro Kortlopend Obligatiefonds,19.96
2026-03-13,Zwitserleven RZL Euro Mixfonds,43.58
2026-03-13,Zwitserleven RZL Euro Obligatiefonds,26.42
2026-03-13,Zwitserleven RZL Europa Aandelenfonds,55.97
2026-03-13,Zwitserleven RZL Vastgoedfonds,45.73
2026-03-13,Zwitserleven RZL Wereld Aandelenfonds,60.35
2026-03-13,Zwitserleven RendementsGarantie 1%,23.14
2026-03-13,Zwitserleven RendementsGarantie 2%,26.28
2026-03-13,Zwitserleven Selectie Fonds,40.15
2026-03-13,Zwitserleven Ultra Long Duration Fonds,22.96
2026-03-13,Zwitserleven VP Credits Hypothekenmix,9.97
2026-03-13,Zwitserleven VP Obligatie,8.78
2026-03-13,Zwitserleven VP Selectie,10.25
2026-03-13,Zwitserleven VP Wereld Aandelen,13.28
2026-03-13,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.41
2026-03-13,Zwitserleven Vanguard Small Cap Fund,26.53
2026-03-13,Zwitserleven Vastgoedfonds,25.05
2026-03-13,Zwitserleven Wereld Aandelenfonds,85.07
2026-03-13,Zwitser­leven Geldmarkt­fonds,25.24
2026-03-13,Zwitser­leven PPI Geldmarkt­fonds,50.47
2026-03-13,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,49.19
2026-03-13,Zwitser­leven Vanguard US 500 Stock Index Fund,24.59
2026-03-16,ASN Duurzaam Aandelenfonds,192.5
2026-03-16,ASN Duurzaam Obligatiefonds,25.35
2026-03-16,ASN Milieu & Waterfonds,50.7
2026-03-16,Etappe Euro Aandelen­fonds,59.47
2026-03-16,Etappe Euro Obligatie­fonds,25.59
2026-03-16,Etappe Staatsobligaties 10+ Fonds,21.3
2026-03-16,Euro Aandelen­fonds,58.39
2026-03-16,Euro Mixfonds,38.35
2026-03-16,Euro Obligatiefonds,24.38
2026-03-16,Optimaal Euro Obligatiefonds,24.58
2026-03-16,Optimaal Staatsobligaties 10+ Fonds,21.47
2026-03-16,Optimaal Vastgoedfonds,34.66
2026-03-16,Optimaal Wereld Aandelenfonds,71.33
2026-03-16,Optimaalfonds Oranje,37.18
2026-03-16,PP Euro Aandelenfonds,62.53
2026-03-16,PP Euro Mixfonds,41.33
2026-03-16,PP Euro Obligatiefonds,25.46
2026-03-16,PP Optimaal Euro Mixfonds,40.47
2026-03-16,PP Wereld Aandelenfonds,75.17
2026-03-16,Wereld Beheer Mixfonds,38.31
2026-03-16,Zwitserleven Amerika Aandelenfonds,97.47
2026-03-16,Zwitserleven Credits Fonds,11.37
2026-03-16,Zwitserleven Credits Hypotheken Mixfonds,11.34
2026-03-16,Zwitserleven Duurzaam Wereld Aandelenfonds,36.52
2026-03-16,Zwitserleven Europees Aandelenfonds,36.82
2026-03-16,Zwitserleven Government Bonds 10+ Fonds,8.08
2026-03-16,Zwitserleven Index Aandelenfonds Europa,42.33
2026-03-16,Zwitserleven Index Aandelenfonds Noord-Amerika,48.65
2026-03-16,Zwitserleven Index Aandelenfonds Opkomende Landen,33.64
2026-03-16,Zwitserleven Index Aandelenfonds Pacific,37.93
2026-03-16,Zwitserleven Index Wereld Aandelenfonds,87.52
2026-03-16,Zwitserleven Kortlopend Obligatiefonds,6.06
2026-03-16,Zwitserleven Lifestyle Garantie,168.84
2026-03-16,Zwitserleven Long Duration Fonds,26.31
2026-03-16,Zwitserleven MaatschappijGarantie (2%),41.65
2026-03-16,Zwitserleven MaatschappijGarantie (3%),46.43
2026-03-16,Zwitserleven MaatschappijGarantie plus,53.52
2026-03-16,Zwitserleven Medium Duration Fonds,27.91
2026-03-16,Zwitserleven Mixfonds,57.72
2026-03-16,Zwitserleven Obligatiefonds,17.37
2026-03-16,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.72
2026-03-16,Zwitserleven PPI Vanguard Small Cap Fund,53.24
2026-03-16,Zwitserleven PPI iShares Government Bond index Fund,49.74
2026-03-16,Zwitserleven PW Collectief Garantiefonds,19.8
2026-03-16,Zwitserleven PW Doorlopend Garantiefonds,13.27
2026-03-16,Zwitserleven PW Europees Beheer Fonds 3%,182.25
2026-03-16,Zwitserleven PW Europees Beheer Fonds 4%,184.13
2026-03-16,Zwitserleven PW Garandement,15.73
2026-03-16,Zwitserleven PW Garantie Plusfonds,17.88
2026-03-16,Zwitserleven PW Garantiefonds,13.15
2026-03-16,Zwitserleven PW Safetyfonds,109.42
2026-03-16,Zwitserleven PW Vastrentendfonds,19.32
2026-03-16,Zwitserleven PW Vastrentendfonds Nederland 3%,19.78
2026-03-16,Zwitserleven PW Vastrentendfonds Nederland 4%,19.78
2026-03-16,Zwitserleven PW Verzekerd Rendementfonds,14.75
2026-03-16,Zwitserleven PW Wereldbeheerfonds 3%,136.72
2026-03-16,Zwitserleven PW Wereldbeheerfonds 4%,137.95
2026-03-16,Zwitserleven RZL Amerika Aandelenfonds,88.86
2026-03-16,Zwitserleven RZL Azië Aandelenfonds,47.78
2026-03-16,Zwitserleven RZL Euro Kortlopend Obligatiefonds,19.95
2026-03-16,Zwitserleven RZL Euro Mixfonds,43.46
2026-03-16,Zwitserleven RZL Euro Obligatiefonds,26.38
2026-03-16,Zwitserleven RZL Europa Aandelenfonds,55.74
2026-03-16,Zwitserleven RZL Vastgoedfonds,45.82
2026-03-16,Zwitserleven RZL Wereld Aandelenfonds,60.23
2026-03-16,Zwitserleven RendementsGarantie 1%,23.14
2026-03-16,Zwitserleven RendementsGarantie 2%,26.28
2026-03-16,Zwitserleven Selectie Fonds,40.22
2026-03-16,Zwitserleven Ultra Long Duration Fonds,22.8
2026-03-16,Zwitserleven VP Credits Hypothekenmix,9.95
2026-03-16,Zwitserleven VP Obligatie,8.76
2026-03-16,Zwitserleven VP Selectie,10.24
2026-03-16,Zwitserleven VP Wereld Aandelen,13.26
2026-03-16,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.34
2026-03-16,Zwitserleven Vanguard Small Cap Fund,26.54
2026-03-16,Zwitserleven Vastgoedfonds,25.17
2026-03-16,Zwitserleven Wereld Aandelenfonds,85.07
2026-03-16,Zwitser­leven Geldmarkt­fonds,25.24
